Time	Open	High	Low	Close	Volume
2022-12-23 15:00:00	16753.1	16849.5	16746.5	16797.5	2	752
2022-12-23 16:00:00	16797.5	16805.2	16782.6	16791.4	2	758
2022-12-23 17:00:00	16791.4	16814.1	16789.7	16804.6	2	758
2022-12-23 18:00:00	16805.1	16814.3	16787.7	16799.6	2	759
2022-12-23 19:00:00	16798.2	16819	16795.4	16807.7	2	759
2022-12-23 20:00:00	16807.9	16812	16762	16769.3	2	755
2022-12-23 21:00:00	16769.2	16780.6	16741.9	16742.8	2	816
2022-12-23 22:00:00	16742.8	16743.3	16695	16718	2	1296
2022-12-23 23:00:00	16717.9	16728.7	16706.6	16712.9	2	1297
2022-12-24 00:00:00	16712.7	16749.7	16710.9	16741.2	2	1295
2022-12-24 01:00:00	16740.9	16764.9	16732.7	16749.9	2	1295
2022-12-24 02:00:00	16749.7	16766.9	16738.7	16765.1	2	1296
2022-12-24 03:00:00	16765.7	16783.9	16762.6	16779.8	2	1298
2022-12-24 04:00:00	16780.4	16784.8	16759.5	16764.2	2	1295
2022-12-24 05:00:00	16764.1	16764.3	16739.1	16757.5	2	1295
2022-12-24 06:00:00	16757.2	16757.9	16742.3	16750.9	2	1297
2022-12-24 07:00:00	16750.9	16790.9	16743.7	16782.6	2	1296
2022-12-24 08:00:00	16782.7	16785.2	16760.8	16762.2	2	1297
2022-12-24 09:00:00	16762.2	16785.1	16755.9	16764.6	2	1296
2022-12-24 10:00:00	16764.6	16771.4	16759.5	16760.1	2	1296
2022-12-24 11:00:00	16760.6	16769.7	16755.2	16759.3	2	1297
2022-12-24 12:00:00	16759.2	16763.7	16752.1	16754.7	2	1293
2022-12-24 13:00:00	16754.6	16763.8	16749.2	16751.6	2	1295
2022-12-24 14:00:00	16751.5	16773.2	16750	16766.2	2	1297
2022-12-24 15:00:00	16766.2	16775.6	16765.3	16771.9	2	1297
2022-12-24 16:00:00	16771.9	16775.7	16756.7	16772.3	2	1296
2022-12-24 17:00:00	16772.3	16783.4	16766.7	16777.2	2	1295
2022-12-24 18:00:00	16777.2	16782.5	16764.8	16776.8	2	1294
2022-12-24 19:00:00	16776.8	16797.8	16768.5	16778.7	2	1287
2022-12-24 20:00:00	16778.7	16781.6	16769.8	16776.9	2	1297
2022-12-24 21:00:00	16776.7	16792.3	16760.1	16761.3	2	1298
2022-12-24 22:00:00	16760.7	16773.4	16752	16760.2	2	1297
2022-12-24 23:00:00	16759.6	16784.9	16746.9	16772.4	2	1295
2022-12-25 00:00:00	16772.6	16782	16766.1	16778.4	2	1294
2022-12-25 01:00:00	16778.4	16786.4	16775.4	16779.8	2	1297
2022-12-25 02:00:00	16779.8	16781.1	16759.4	16762.7	2	1297
2022-12-25 03:00:00	16762.7	16773.5	16760.9	16766.1	2	1295
2022-12-25 04:00:00	16766.7	16767.1	16751.8	16756.3	2	1296
2022-12-25 05:00:00	16756.2	16771.7	16740	16766.2	2	1298
2022-12-25 06:00:00	16765.9	16766.8	16752.7	16764.5	2	1297
2022-12-25 07:00:00	16764.3	16768	16754.8	16759.2	2	1297
2022-12-25 08:00:00	16759.2	16769.5	16758.6	16764.5	2	1296
2022-12-25 09:00:00	16764.4	16771.9	16761	16767.5	2	1296
2022-12-25 10:00:00	16768	16768.6	16754.8	16760.7	2	1299
2022-12-25 11:00:00	16760.9	16761.7	16751.1	16756.5	2	1293
2022-12-25 12:00:00	16756.4	16760	16749.7	16753.9	2	1294
2022-12-25 13:00:00	16753.9	16757.1	16734.8	16747	2	1297
2022-12-25 14:00:00	16747.8	16766	16660.5	16764.1	2	1297
2022-12-25 15:00:00	16762	16788.8	16721.9	16727.9	2	1290
2022-12-25 16:00:00	16727.4	16753.1	16706.9	16748.5	2	1292
2022-12-25 17:00:00	16748.5	16754	16726.5	16730.1	2	1293
2022-12-25 18:00:00	16730.6	16735.9	16708	16713.1	2	1294
2022-12-25 19:00:00	16713.1	16728.5	16666.7	16726.9	2	1292
2022-12-25 20:00:00	16726.9	16727.5	16688	16704.4	2	1292
2022-12-25 21:00:00	16704.3	16779.4	16698.6	16764.2	2	1295
2022-12-25 22:00:00	16764.7	16777.4	16742.1	16751.6	2	1292
2022-12-25 23:00:00	16751.6	16770.3	16745.9	16764.9	2	1295
2022-12-26 00:00:00	16787.5	16794.5	16782.4	16791.6	2	802
2022-12-26 01:00:00	16791.5	16824.4	16789.8	16813.9	2	802
2022-12-26 02:00:00	16814.2	16851.6	16812.4	16845.1	2	802
2022-12-26 03:00:00	16845	16850.1	16831.7	16849.8	2	802
2022-12-26 04:00:00	16849.9	16869.9	16829.4	16835.2	2	802
2022-12-26 05:00:00	16835.4	16844.8	16813	16813.4	2	802
2022-12-26 06:00:00	16813.3	16825.6	16812.1	16813.7	2	802
2022-12-26 07:00:00	16813.2	16813.7	16802.1	16804.9	2	802
2022-12-26 08:00:00	16804.8	16805.6	16784.2	16800.4	2	802
2022-12-26 09:00:00	16800.3	16814.6	16793.9	16800.9	2	802
2022-12-26 10:00:00	16800.9	16823.3	16796.7	16812.3	2	755
2022-12-26 11:00:00	16812.3	16829.7	16808.1	16824.6	2	759
2022-12-26 12:00:00	16824.7	16826.7	16816.4	16819.4	2	762
2022-12-26 13:00:00	16819.4	16819.4	16799.7	16800.7	2	755
2022-12-26 14:00:00	16800.7	16803.9	16792.3	16792.3	2	755
2022-12-26 15:00:00	16792.5	16796.8	16760.8	16768.5	2	761
2022-12-26 16:00:00	16768.5	16797.5	16762.1	16797.3	2	754
2022-12-26 17:00:00	16797.3	16803.3	16789.8	16798.1	2	742
2022-12-26 18:00:00	16798.3	16802.7	16780.1	16780.1	2	764
2022-12-26 19:00:00	16780.2	16816.1	16780.2	16803.1	2	762
2022-12-26 20:00:00	16803.4	16808.6	16797.4	16800.1	2	761
2022-12-26 21:00:00	16800.3	16810.1	16789.4	16796.6	2	772
2022-12-26 22:00:00	16796.6	16805.2	16794.5	16800.8	2	750
2022-12-26 23:00:00	16800.8	16906.9	16785.3	16878.2	2	712
2022-12-27 00:00:00	16879.1	16929.3	16812.9	16833.9	2	654
2022-12-27 01:00:00	16834.6	16849.9	16818.9	16827.6	2	701
2022-12-27 02:00:00	16827.8	16851.4	16827.8	16844.5	2	702
2022-12-27 03:00:00	16844.5	16844.5	16822	16838.1	2	693
2022-12-27 04:00:00	16838.2	16853.6	16832.4	16853.6	2	701
2022-12-27 05:00:00	16854	16856	16836.3	16836.3	2	695
2022-12-27 06:00:00	16836.3	16850.7	16828.1	16849.5	2	692
2022-12-27 07:00:00	16849.5	16850.1	16823	16834.7	2	697
2022-12-27 08:00:00	16834.7	16834.7	16813.2	16816.5	2	692
2022-12-27 09:00:00	16816.5	16841.2	16809.2	16840.8	2	680
2022-12-27 10:00:00	16840.8	16840.9	16813.3	16822.8	2	713
2022-12-27 11:00:00	16822.8	16822.8	16776.5	16795.7	2	692
2022-12-27 12:00:00	16795.7	16796.9	16768.2	16774.7	2	718
2022-12-27 13:00:00	16774.7	16796.9	16768.2	16782.2	2	705
2022-12-27 14:00:00	16782.2	16789.9	16704.3	16738.2	2	690
2022-12-27 15:00:00	16738.2	16798.5	16709.8	16761.6	2	699
2022-12-27 16:00:00	16761.6	16763.2	16719.6	16735.9	2	676
2022-12-27 17:00:00	16736.5	16743.1	16585.7	16636.6	2	672
2022-12-27 18:00:00	16636.1	16640.1	16573.7	16589.6	2	715
2022-12-27 19:00:00	16589.5	16646.6	16557.7	16646.6	2	699
2022-12-27 20:00:00	16646.3	16656.6	16615	16623.4	2	706
2022-12-27 21:00:00	16622.6	16665.3	16609.8	16656.1	2	697
2022-12-27 22:00:00	16656	16658.7	16643.3	16646.8	2	753
2022-12-27 23:00:00	16646.6	16680.4	16641.5	16662.4	2	716
2022-12-28 00:00:00	16662.6	16679.6	16632.2	16645.1	2	712
2022-12-28 01:00:00	16644.9	16704.7	16615.4	16655.9	2	726
2022-12-28 02:00:00	16655.9	16670.3	16639.4	16643.6	2	718
2022-12-28 03:00:00	16644.2	16652.4	16528.5	16610.8	2	735
2022-12-28 04:00:00	16612	16633.4	16601.7	16624.1	2	729
2022-12-28 05:00:00	16624.3	16629.4	16550.3	16563.9	2	732
2022-12-28 06:00:00	16563.8	16578.8	16553.6	16570.8	2	738
2022-12-28 07:00:00	16571.6	16613.6	16568.3	16604.9	2	736
2022-12-28 08:00:00	16604.8	16624.2	16593.5	16601.3	2	738
2022-12-28 09:00:00	16601.2	16635.1	16589.4	16617.7	2	738
2022-12-28 10:00:00	16617.6	16638.5	16607.4	16624.6	2	737
2022-12-28 11:00:00	16624.5	16646	16620.7	16638.9	2	724
2022-12-28 12:00:00	16638.7	16645.1	16611.2	16614.4	2	736
2022-12-28 13:00:00	16614.2	16622.1	16602.2	16610.5	2	737
2022-12-28 14:00:00	16610.3	16719.7	16600	16698.8	2	728
2022-12-28 15:00:00	16701.2	16738.6	16530.6	16539	2	699
2022-12-28 16:00:00	16539	16587.1	16526.1	16569.3	2	643
2022-12-28 17:00:00	16569.3	16604.9	16551.7	16599.7	2	649
2022-12-28 18:00:00	16600.7	16620.8	16582.2	16592.7	2	679
2022-12-28 19:00:00	16592.8	16604.1	16551.5	16555.8	2	702
2022-12-28 20:00:00	16556.2	16575.3	16547	16558.7	2	667
2022-12-28 21:00:00	16558.7	16559.4	16431.2	16486	2	641
2022-12-28 22:00:00	16486	16498.8	16439.2	16479.9	2	694
2022-12-28 23:00:00	16481.7	16518.5	16477	16508.5	2	711
2022-12-29 00:00:00	16508.5	16549.2	16502.8	16539.2	2	705
2022-12-29 01:00:00	16539.3	16546.4	16505.7	16509.9	2	660
2022-12-29 02:00:00	16509.9	16511.8	16451.2	16500.4	2	684
2022-12-29 03:00:00	16500.4	16524.4	16493.7	16520.5	2	680
2022-12-29 04:00:00	16520.5	16539.7	16499.2	16534.5	2	680
2022-12-29 05:00:00	16534.5	16536.7	16518.8	16536.7	2	690
2022-12-29 06:00:00	16537	16542.2	16521.4	16525.4	2	642
2022-12-29 07:00:00	16525.4	16529.5	16500.4	16516.6	2	685
2022-12-29 08:00:00	16518.6	16527.4	16481.3	16492.7	2	669
2022-12-29 09:00:00	16493	16576	16492.7	16556	2	697
2022-12-29 10:00:00	16556	16568.4	16540.5	16566.5	2	692
2022-12-29 11:00:00	16566.7	16582.2	16555.8	16560.1	2	656
2022-12-29 12:00:00	16560.6	16581.5	16557	16578.3	2	669
2022-12-29 13:00:00	16579	16610.5	16560.6	16582.5	2	662
2022-12-29 14:00:00	16582.5	16621.6	16566	16590.3	2	649
2022-12-29 15:00:00	16591.1	16622	16571.5	16578.6	2	681
2022-12-29 16:00:00	16579.2	16614.9	16572	16592.6	2	690
2022-12-29 17:00:00	16592.5	16599.9	16560.5	16574.9	2	724
2022-12-29 18:00:00	16576	16593.1	16564.9	16591.2	2	719
2022-12-29 19:00:00	16591.1	16599.4	16553.1	16572.4	2	681
2022-12-29 20:00:00	16572	16578.1	16522.6	16560	2	667
2022-12-29 21:00:00	16560	16571.4	16550.3	16558.2	2	701
2022-12-29 22:00:00	16553.2	16590.3	16552.8	16580	2	739
2022-12-29 23:00:00	16577.2	16612.9	16571.5	16596.4	2	699
2022-12-30 00:00:00	16595.5	16608.3	16577.6	16588.9	2	687
2022-12-30 01:00:00	16589	16594.7	16561.2	16568.2	2	689
2022-12-30 02:00:00	16568.4	16583.9	16546.5	16564.2	2	684
2022-12-30 03:00:00	16564	16577.3	16546.2	16559.1	2	677
2022-12-30 04:00:00	16555.9	16572	16551.4	16571.2	2	703
2022-12-30 05:00:00	16571.3	16572.7	16484.3	16514.4	2	669
2022-12-30 06:00:00	16514	16534.1	16496	16506	2	708
2022-12-30 07:00:00	16505.6	16506	16395.6	16432.5	2	705
2022-12-30 08:00:00	16432.4	16467.7	16419.6	16456.6	2	725
2022-12-30 09:00:00	16456.9	16486.9	16456.8	16474.3	2	717
2022-12-30 10:00:00	16474.2	16486	16444	16449	2	729
2022-12-30 11:00:00	16448.9	16476	16443	16455.1	2	681
2022-12-30 12:00:00	16454.8	16465.9	16436.3	16455	2	699
2022-12-30 13:00:00	16454.1	16465.1	16417.2	16426.3	2	685
2022-12-30 14:00:00	16425.3	16460.7	16301.9	16374.3	2	680
2022-12-30 15:00:00	16373.9	16532.2	16361.8	16516.7	2	675
2022-12-30 16:00:00	16516.8	16534.4	16474.8	16512.2	2	697
